epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,24.0587,1.43807,3.1615,1.8495,0.00322,0.88163,0.0224,0.00849,1.40581,4.06702,2.11577,0.00125025,0.00041675,0.00125025,0.00041675,0.00125025,0.00041675,0.00125025,0.00041675
2,41.5427,1.17001,3.03805,1.68004,0.00317,0.87252,0.10253,0.04914,1.30071,3.94291,2.06353,0.00252526,0.000841753,0.00252526,0.000841753,0.00252526,0.000841753,0.00252526,0.000841753
3,59.2475,1.06557,2.85423,1.61476,0.00333,0.91098,0.31576,0.19252,1.20477,3.74904,1.91487,0.00377452,0.00125817,0.00377452,0.00125817,0.00377452,0.00125817,0.00377452,0.00125817
4,75.1825,1.05634,2.61006,1.5917,0.45846,0.33126,0.32699,0.20402,1.34423,3.33391,1.98607,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749
5,91.1735,1.12344,2.40485,1.6056,0.39813,0.40098,0.36659,0.19039,1.45216,3.23136,2.07105,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099
6,106.973,1.05463,2.19061,1.5587,0.50009,0.60437,0.49189,0.28776,1.4419,2.8875,2.1298,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
7,121.816,1.12395,2.11929,1.6061,0.55065,0.55411,0.49562,0.28807,1.45189,2.79548,2.12052,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
8,136.131,1.05763,1.94854,1.53896,0.51958,0.60446,0.53066,0.31312,1.41203,2.62479,2.06537,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148
9,150.937,1.00963,1.84349,1.54056,0.54782,0.61994,0.56678,0.35442,1.3573,2.5181,2.00163,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
10,165.645,1.01979,1.80045,1.5071,0.65517,0.62011,0.61499,0.34885,1.42392,2.57533,2.05985,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847
11,179.979,1.00796,1.768,1.51414,0.65558,0.62143,0.6301,0.38861,1.36869,2.42231,2.02751,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
12,194.615,1.01994,1.70045,1.49381,0.64381,0.60716,0.61468,0.383,1.37799,2.4425,2.02009,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546
13,211.061,0.97537,1.68386,1.52142,0.64249,0.66786,0.65935,0.42149,1.35341,2.37676,1.98834,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
14,227.435,0.98566,1.64345,1.501,0.66932,0.63711,0.63625,0.39946,1.36511,2.33069,2.0353,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246
15,243.716,0.99651,1.66487,1.49711,0.73489,0.62041,0.6714,0.42209,1.41397,2.31621,2.07317,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
16,260.595,0.91798,1.54838,1.43606,0.73571,0.61381,0.68309,0.41916,1.40569,2.33914,2.03422,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
17,277.101,0.94847,1.57639,1.45266,0.72292,0.63765,0.69613,0.43697,1.35646,2.23213,1.98317,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
18,293.892,0.94327,1.51529,1.44582,0.64463,0.67125,0.66883,0.42696,1.37632,2.19862,2.01171,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644
19,311.771,0.94322,1.48691,1.44211,0.64274,0.7323,0.69411,0.43547,1.36749,2.18388,2.01545,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
20,329.818,0.90362,1.40703,1.40971,0.76939,0.62832,0.70689,0.42599,1.41058,2.09646,2.02266,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344
21,345.934,0.95709,1.42818,1.45673,0.76184,0.64328,0.69978,0.41713,1.42629,2.07779,2.04801,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
22,363.994,0.95974,1.44983,1.44719,0.78127,0.62305,0.71393,0.42589,1.39437,2.11114,2.02133,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043
23,381.248,0.89253,1.35478,1.42577,0.71259,0.65463,0.70524,0.44617,1.34463,2.07046,1.9927,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
24,398.065,0.92311,1.41783,1.42735,0.65629,0.66221,0.65982,0.42369,1.37082,2.05164,2.00409,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742
25,413.848,0.90674,1.35898,1.41054,0.68115,0.65726,0.6702,0.42195,1.40014,2.02369,1.99826,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
26,430.363,0.93388,1.34077,1.42128,0.72448,0.68449,0.715,0.44101,1.40421,2.10296,1.98069,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
27,446.434,0.89805,1.3424,1.40057,0.61841,0.72818,0.66723,0.40833,1.41691,2.17363,2.01779,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
28,462.982,0.90589,1.35093,1.39281,0.71188,0.69369,0.72001,0.45603,1.3946,2.02857,1.98509,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141
29,477.5,0.85718,1.27896,1.37004,0.79724,0.67263,0.72778,0.47644,1.35982,1.92645,1.94968,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
30,493.43,0.88609,1.30513,1.39314,0.76841,0.68647,0.70452,0.45732,1.37235,1.94769,1.96991,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884
31,508.726,0.8555,1.19089,1.35652,0.76965,0.672,0.72247,0.46833,1.36688,1.92094,1.94723,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
32,524.312,0.87867,1.25234,1.39793,0.76337,0.64478,0.72138,0.45328,1.38454,1.86311,1.97602,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554
33,539.812,0.83675,1.20167,1.3475,0.69935,0.66909,0.70586,0.42716,1.42789,1.94833,2.01121,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
