epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,683.279,1.88216,2.23827,1.80838,0.62216,0.44127,0.48012,0.2049,1.9077,1.75555,1.84215,0.00998785,0.00332928,0.00998785,0.00332928,0.00998785,0.00332928,0.00998785,0.00332928
2,1384.05,1.80399,1.77205,1.71217,0.54963,0.42148,0.43536,0.18694,1.9646,1.89752,1.84914,0.01979,0.00659666,0.01979,0.00659666,0.01979,0.00659666,0.01979,0.00659666
3,2025.18,1.86447,1.84029,1.757,0.5207,0.3818,0.39512,0.16297,2.10195,2.06102,2.0126,0.0293941,0.00979803,0.0293941,0.00979803,0.0293941,0.00979803,0.0293941,0.00979803
4,2612.94,1.92451,1.93332,1.82035,0.61357,0.4375,0.49103,0.21904,1.92188,1.85298,1.86199,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,3304.3,1.8901,1.85314,1.78838,0.55152,0.44943,0.481,0.22227,1.9056,1.82818,1.86503,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,4070.24,1.82372,1.75926,1.75633,0.65173,0.52041,0.56446,0.26395,1.84854,1.59943,1.83124,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,4825.68,1.79125,1.69646,1.73653,0.70301,0.52984,0.60343,0.29133,1.82901,1.50307,1.78264,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,5665.02,1.7576,1.63953,1.70006,0.72873,0.5468,0.62763,0.30566,1.77584,1.39555,1.76506,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,6454.21,1.72637,1.59353,1.67399,0.73934,0.55653,0.62654,0.3095,1.74254,1.40551,1.71768,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,7047.13,1.68658,1.51873,1.65325,0.74034,0.54994,0.64577,0.32765,1.67767,1.35618,1.66924,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,7826.88,1.67787,1.50126,1.63316,0.7209,0.55182,0.63568,0.32921,1.68849,1.36982,1.67679,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
